Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:55:20,24-05-2024 08:55:21,1.093s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:21,24-05-2024 08:55:22,0.693s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:55:22,24-05-2024 08:55:23,1.439s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:55:23,24-05-2024 08:55:24,0.873s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:24,24-05-2024 08:55:25,0.665s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:55:25,24-05-2024 08:55:28,3.018s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:55:28,24-05-2024 08:55:30,1.962s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:55:30,24-05-2024 08:55:30,0.685s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:55:30,24-05-2024 08:55:47,16.132s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:55:30,24-05-2024 08:55:31,0.992s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:55:31,24-05-2024 08:55:35,3.470s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:55:35,24-05-2024 08:55:35,0.467s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:55:35,24-05-2024 08:55:36,0.915s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:55:36,24-05-2024 08:55:37,0.552s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:37,24-05-2024 08:55:37,0.586s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:55:37,24-05-2024 08:55:39,1.230s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:55:39,24-05-2024 08:55:40,1.104s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:40,24-05-2024 08:55:42,2.608s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:55:42,24-05-2024 08:55:45,3.005s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:55:45,24-05-2024 08:55:47,1.156s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:55:47,24-05-2024 08:56:03,16.331s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:55:47,24-05-2024 08:55:48,1.540s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:55:48,24-05-2024 08:55:51,3.246s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:55:51,24-05-2024 08:55:52,0.291s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:55:52,24-05-2024 08:55:53,0.958s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:55:53,24-05-2024 08:55:54,1.081s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:54,24-05-2024 08:55:54,0.581s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:55:54,24-05-2024 08:55:56,1.407s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:55:56,24-05-2024 08:55:57,1.001s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:57,24-05-2024 08:55:57,0.700s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:55:57,24-05-2024 08:56:00,3.016s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:56:00,24-05-2024 08:56:03,2.483s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:56:03,24-05-2024 08:56:19,15.813s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:56:03,24-05-2024 08:56:05,1.447s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:56:05,24-05-2024 08:56:08,3.283s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:56:08,24-05-2024 08:56:08,0.168s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:56:08,24-05-2024 08:56:09,1.160s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:56:09,24-05-2024 08:56:10,0.565s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:10,24-05-2024 08:56:10,0.549s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:56:10,24-05-2024 08:56:12,1.234s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:56:12,24-05-2024 08:56:13,1.331s,PASSED
