Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:39,06-06-2024 13:55:40,0.700s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:40,06-06-2024 13:55:41,1.198s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:41,06-06-2024 13:55:41,0.287s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:41,06-06-2024 13:55:50,8.709s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:41,06-06-2024 13:55:42,0.824s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:42,06-06-2024 13:55:45,2.718s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:45,06-06-2024 13:55:45,0.163s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:45,06-06-2024 13:55:45,0.644s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:45,06-06-2024 13:55:46,0.501s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:46,06-06-2024 13:55:46,0.587s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:46,06-06-2024 13:55:48,1.114s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:48,06-06-2024 13:55:48,0.643s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:48,06-06-2024 13:55:49,1.192s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:49,06-06-2024 13:55:50,0.302s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:50,06-06-2024 13:55:59,8.890s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:50,06-06-2024 13:55:51,0.906s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:51,06-06-2024 13:55:53,2.405s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:53,06-06-2024 13:55:53,0.265s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:53,06-06-2024 13:55:54,0.733s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:54,06-06-2024 13:55:55,0.447s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:55,06-06-2024 13:55:55,0.563s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:55,06-06-2024 13:55:56,1.373s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:56,06-06-2024 13:55:57,0.696s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:57,06-06-2024 13:55:58,1.190s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:58,06-06-2024 13:55:59,0.294s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:59,06-06-2024 13:56:09,10.741s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:59,06-06-2024 13:55:59,0.784s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:59,06-06-2024 13:56:02,2.439s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:56:02,06-06-2024 13:56:02,0.253s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:56:02,06-06-2024 13:56:03,0.743s,PASSED
